syllable_type,lyrics_representation,input_text,phoneme_representation1,phoneme_representation2,phoneme_representation3,phoneme_representation4,phoneme_representation5,SysEX_header,ph1,time1,ph2,time2,ph3,time3,ph4,time4,ph5,time5,eox
ぎょ,ぎょ,ぎょ,,BB,ghy,yho,oj,F0 43 1# 5D 03 0* 00,7B,1,48,3,38,6,5,0,,,F7
でゃ,でゃ,でゃ,,BB,dhy,yha,aj,F0 43 1# 5D 03 0* 00,7B,2,5A,2,35,5,1,0,,,F7
でゅ,でゅ,でゅ,,BB,dhy,yhu,uj,F0 43 1# 5D 03 0* 00,7B,2,5A,3,36,5,3,0,,,F7
でぇ,でぇ,でぇ,,BB,dhy,yhe,ej,F0 43 1# 5D 03 0* 00,7B,2,5A,3,37,5,4,0,,,F7
でょ,でょ,でょ,,BB,dhy,yho,oj,F0 43 1# 5D 03 0* 00,7B,2,5A,4,38,5,5,0,,,F7
じぃゃ,じぃゃ,じぃゃ,,BB,jhy,yha,aj,F0 43 1# 5D 03 0* 00,7B,2,54,8,35,6,1,0,,,F7
じぃゅ,じぃゅ,じぃゅ,,BB,jhy,yhu,uj,F0 43 1# 5D 03 0* 00,7B,2,54,8,36,6,3,0,,,F7
じぃぇ,じぃぇ,じぃぇ,,BB,jhy,yhe,ej,F0 43 1# 5D 03 0* 00,7B,2,54,8,37,0A,4,0,,,F7
じぃぉ,じぃぉ,じぃぉ,,BB,jhy,yho,oj,F0 43 1# 5D 03 0* 00,7B,2,54,8,38,6,5,0,,,F7
びゃ,びゃ,びゃ,,BB,bhy,yha,aj,F0 43 1# 5D 03 0* 00,7B,8,60,2,35,6,1,0,,,F7
びゅ,びゅ,びゅ,,BB,bhy,yhu,uj,F0 43 1# 5D 03 0* 00,7B,8,60,2,36,6,3,0,,,F7
びぇ,びぇ,びぇ,,BB,bhy,yhe,ej,F0 43 1# 5D 03 0* 00,7B,8,60,2,37,6,4,0,,,F7
びょ,びょ,びょ,,BB,bhy,yho,oj,F0 43 1# 5D 03 0* 00,7B,8,60,2,38,6,5,0,,,F7
ぴゃ,ぴゃ,ぴゃ,,CL,phy,yha,aj,F0 43 1# 5D 03 0* 00,7A,1,6B,2,35,6,1,0,,,F7
ぴゅ,ぴゅ,ぴゅ,,CL,phy,yhu,uj,F0 43 1# 5D 03 0* 00,7A,1,6B,2,36,6,3,0,,,F7
ぴぇ,ぴぇ,ぴぇ,,CL,phy,yhe,ej,F0 43 1# 5D 03 0* 00,7A,1,6B,2,37,6,4,0,,,F7
ぴょ,ぴょ,ぴょ,,CL,phy,yho,oj,F0 43 1# 5D 03 0* 00,7A,1,6B,2,38,6,5,0,,,F7
が（鼻）,ガ,,,,BB,ngha,aj,F0 43 1# 5D 03 0* 00,7B,1,6C,2,1,0,,,,,F7
ぎ（鼻）,ギ,,,,BB,nghi,ij,F0 43 1# 5D 03 0* 00,7B,1,6D,2,2,0,,,,,F7
ぐ（鼻）,グ,,,,BB,nghu,uj,F0 43 1# 5D 03 0* 00,7B,1,6E,2,3,0,,,,,F7
げ（鼻）,ゲ,,,,BB,nghe,ej,F0 43 1# 5D 03 0* 00,7B,1,6F,2,4,0,,,,,F7
ご（鼻）,ゴ,,,,BB,ngho,oj,F0 43 1# 5D 03 0* 00,7B,1,70,2,5,0,,,,,F7
が（鼻）（長）,ガ,,,,BB,ngha,aj,F0 43 1# 5D 03 0* 00,7B,2,6C,A,1,0,,,,,F7
ぎ（鼻）（長）,ギ,,,,BB,nghi,ij,F0 43 1# 5D 03 0* 00,7B,2,6D,A,2,0,,,,,F7
ぐ（鼻）（長）,グ,,,,BB,nghu,uj,F0 43 1# 5D 03 0* 00,7B,2,6E,A,3,0,,,,,F7
げ（鼻）（長）,ゲ,,,,BB,nghe,ej,F0 43 1# 5D 03 0* 00,7B,2,6F,A,4,0,,,,,F7
ご（鼻）（長）,ゴ,,,,BB,ngho,oj,F0 43 1# 5D 03 0* 00,7B,2,70,A,5,0,,,,,F7
ぎゃ（鼻）,ギャ,,,BB,nghy,yha,aj,F0 43 1# 5D 03 0* 00,7B,1,71,2,35,6,1,0,,,F7
ぎゅ（鼻）,ギュ,,,BB,nghy,yhu,uj,F0 43 1# 5D 03 0* 00,7B,1,71,2,36,6,3,0,,,F7
ぎぇ（鼻）,ギェ,,,BB,nghy,yhe,ej,F0 43 1# 5D 03 0* 00,7B,1,71,2,37,6,4,0,,,F7
ぎょ（鼻）,ギョ,,,BB,nghy,yho,oj,F0 43 1# 5D 03 0* 00,7B,1,71,2,38,6,5,0,,,F7
ぎゃ（鼻）（長,）ギャ,,,BB,nghy,yha,aj,F0 43 1# 5D 03 0* 00,7B,1,71,10,35,6,1,0,,,F7
ぎゅ（鼻）（長,）ギュ,,,BB,nghy,yhu,uj,F0 43 1# 5D 03 0* 00,7B,1,71,10,36,6,3,0,,,F7
ぎぇ（鼻）（長,）ギェ,,,BB,nghy,yhe,ej,F0 43 1# 5D 03 0* 00,7B,1,71,10,37,6,4,0,,,F7
ぎょ（鼻）（長,）ギョ,,,BB,nghy,yho,oj,F0 43 1# 5D 03 0* 00,7B,1,71,10,38,6,5,0,,,F7
ん,ん,ん,,,,,nhn,F0 43 1# 5D 03 0* 00,22,0,,,,,,,,,F7
ん(m),ン,,,,,,mhm,F0 43 1# 5D 03 0* 00,34,0,,,,,,,,,F7
ん(ng),ン,,,,,,ngh,F0 43 1# 5D 03 0* 00,72,0,,,,,,,,,F7
き（無）,キ,,,,,CL,khi,F0 43 1# 5D 03 0* 00,7A,1,7,0,,,,,,,F7
く（無）,ク,,,,,CL,khu,F0 43 1# 5D 03 0* 00,7A,1,8,0,,,,,,,F7
くぃ（無）,クィ,,,CL,khw,hhhw,hhhi,F0 43 1# 5D 03 0* 00,7A,1,C,3,79,5,74,0,,,F7
すぃ（無）,スィ,,,,,ssi,hhhi,F0 43 1# 5D 03 0* 00,E,0D,74,0,,,,,,,F7
す（無）,ス,,,,,,ssu,F0 43 1# 5D 03 0* 00,F,0,,,,,,,,,F7
し（無）,シ,,,,,,shj,F0 43 1# 5D 03 0* 00,12,0,,,,,,,,,F7
しゅ（無）,シュ,,,,shj,hhhy,hhhu,F0 43 1# 5D 03 0* 00,12,0D,78,3,75,0,,,,,F7
てぃ（無）,ティ,,,,CL,tti,hhhi,F0 43 1# 5D 03 0* 00,7A,1,14,3,74,0,,,,,F7
とぅ（無）,トゥ,,,,CL,ttu,hhhu,F0 43 1# 5D 03 0* 00,7A,1,15,3,75,0,,,,,F7
